Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-10-06,flat : to watch,,https://boxd.it/iA3vc,

Position,Name,Year,URL,Description
1,Adaptation.,2002,https://boxd.it/26mA,
2,"The Adventures of Priscilla, Queen of the Desert",1994,https://boxd.it/26mg,
3,Arrival,2016,https://boxd.it/aNGk,
4,Assassination Nation,2018,https://boxd.it/fSIq,
5,Atlantis: The Lost Empire,2001,https://boxd.it/1Vck,
6,Being John Malkovich,1999,https://boxd.it/2ahu,
7,Bullet Train,2022,https://boxd.it/qW26,
8,Catwoman,2004,https://boxd.it/2aBY,
9,The Craft,1996,https://boxd.it/1Zai,
10,Crimson Peak,2015,https://boxd.it/62Ty,
11,D.E.B.S.,2004,https://boxd.it/2aaS,
12,The Devil Wears Prada,2006,https://boxd.it/2awE,
13,Django Unchained,2012,https://boxd.it/2cCk,
14,Emily the Criminal,2022,https://boxd.it/wBOq,
15,Emma.,2020,https://boxd.it/kmg0,
16,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,
17,Fallen,2016,https://boxd.it/8KPO,
18,Fargo,1996,https://boxd.it/2aHM,
19,The Florida Project,2017,https://boxd.it/dMG0,
20,Gone Girl,2014,https://boxd.it/6hQu,
21,Good Bye Lenin!,2003,https://boxd.it/2ayA,
22,Guns Akimbo,2019,https://boxd.it/gkFu,
23,Hard Candy,2005,https://boxd.it/26vs,
24,Hellboy,2004,https://boxd.it/28HK,
25,Hellboy II: The Golden Army,2008,https://boxd.it/1Ug6,
26,High Fidelity,2000,https://boxd.it/2aMW,
27,Hot Fuzz,2007,https://boxd.it/2416,
28,In Bruges,2008,https://boxd.it/20n8,
29,"Juliet, Naked",2018,https://boxd.it/gnaE,
30,Juno,2007,https://boxd.it/210a,
31,Knives Out,2019,https://boxd.it/jWEA,
32,Lake Mungo,2008,https://boxd.it/1rWM,
33,Lara Croft: Tomb Raider,2001,https://boxd.it/27G2,
34,Lara Croft: Tomb Raider - The Cradle of Life,2003,https://boxd.it/27FS,
35,The Life Aquatic with Steve Zissou,2004,https://boxd.it/2aqw,
36,Love Actually,2003,https://boxd.it/2aeU,
37,Marcel the Shell with Shoes On,2021,https://boxd.it/wMAk,
38,Moulin Rouge!,2001,https://boxd.it/29wI,
39,The Muppets,2011,https://boxd.it/1zg,
40,Nightcrawler,2014,https://boxd.it/780m,
41,The Nowhere Inn,2020,https://boxd.it/oigo,
42,Palm Springs,2020,https://boxd.it/lCXQ,
43,Parasite,2019,https://boxd.it/hTha,
44,Peninsula,2020,https://boxd.it/lnrU,
45,Pink Flamingos,1972,https://boxd.it/29NO,
46,Pleasantville,1998,https://boxd.it/26uY,
47,Practical Magic,1998,https://boxd.it/21HS,
48,Prey,2022,https://boxd.it/sNBU,
49,The Road to El Dorado,2000,https://boxd.it/1W6s,
50,School of Rock,2003,https://boxd.it/28xK,
51,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,
52,Seven Psychopaths,2012,https://boxd.it/34PW,
53,Sinbad: Legend of the Seven Seas,2003,https://boxd.it/1Oa2,
54,Spider-Man,2002,https://boxd.it/2a8i,
55,The Suicide Squad,2021,https://boxd.it/fw6O,
56,Swiss Army Man,2016,https://boxd.it/bDG2,
57,Thelma & Louise,1991,https://boxd.it/28Ew,
58,Train to Busan,2016,https://boxd.it/dSQU,
59,Trainspotting,1996,https://boxd.it/29XY,
60,The Unbearable Weight of Massive Talent,2022,https://boxd.it/o6eK,
61,Vivarium,2019,https://boxd.it/gmVE,
62,WALL·E,2008,https://boxd.it/1VEo,
63,Whip It,2009,https://boxd.it/1A3m,
64,Wolfwalkers,2020,https://boxd.it/fGrC,
65,The Worst Person in the World,2021,https://boxd.it/oyws,
66,Æon Flux,2005,https://boxd.it/20vc,
67,Run Lola Run,1998,https://boxd.it/2b8o,
68,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/ceBS,
69,About Elly,2009,https://boxd.it/18Ry,
