Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-09-26,Zola,2020,https://boxd.it/3g6czn,4,,,2022-01-03
2022-09-26,Encanto,2021,https://boxd.it/3g6cLX,2.5,,,2022-01-19
2022-09-26,Eternals,2021,https://boxd.it/3g6cYx,3,,,2022-01-22
2022-09-26,Scream,2022,https://boxd.it/3g6d5N,3,,,2022-01-23
2022-09-26,Charli XCX: Alone Together,2021,https://boxd.it/3g6dfD,3.5,,,2022-01-30
2022-09-26,Once,2007,https://boxd.it/3g6dlr,3.5,,,2022-01-30
2022-09-26,Licorice Pizza,2021,https://boxd.it/3g6dt1,3.5,,,2022-02-08
2022-09-26,Southland Tales,2006,https://boxd.it/3g6dK7,0.5,,,2022-02-24
2022-09-26,Turning Red,2022,https://boxd.it/3g6dTD,4,,,2022-03-12
2022-09-26,American Psycho,2000,https://boxd.it/3g6e5z,2,,,2022-03-15
2022-09-26,Don't Look Up,2021,https://boxd.it/3g6edX,1.5,,,2022-03-21
2022-09-26,Psycho,1960,https://boxd.it/3g6ejB,4,,,2022-03-22
2022-09-26,Ema,2019,https://boxd.it/3g6epf,4,,,2022-03-23
2022-09-26,The Night of the Hunter,1955,https://boxd.it/3g6etB,3,,,2022-03-30
2022-09-26,Jackie,2016,https://boxd.it/3giyDl,3,,,2022-04-11
2022-09-26,Under the Skin,2013,https://boxd.it/3giyRH,4,,,2022-04-15
2022-09-26,Everything Everywhere All at Once,2022,https://boxd.it/3giz71,4.5,,,2022-04-17
2022-09-26,The Batman,2022,https://boxd.it/3giADn,3.5,,,2022-04-18
2022-09-26,Run Lola Run,1998,https://boxd.it/3giAR5,4,,,2022-04-27
2022-09-26,Beasts of the Southern Wild,2012,https://boxd.it/3giB7x,3,,,2022-05-04
2022-09-26,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/3giBjt,1,,,2022-05-06
2022-09-26,Some Kind of Heaven,2020,https://boxd.it/3giBy9,3,,,2022-05-18
2022-09-26,Tank Girl,1995,https://boxd.it/3giBJr,3.5,,,2022-05-25
2022-09-26,X,2022,https://boxd.it/3giCzd,4,,,2022-05-31
2022-09-26,We're All Going to the World's Fair,2021,https://boxd.it/3giCGD,1.5,,,2022-06-01
2022-09-26,The Northman,2022,https://boxd.it/3giCW7,3.5,,,2022-06-15
2022-09-26,The Thing,1982,https://boxd.it/3giDaD,3.5,,,2022-06-16
2022-09-26,Men,2022,https://boxd.it/3giDlr,3.5,,,2022-06-21
2022-09-26,Circle,2015,https://boxd.it/3giG5B,1.5,,,2022-07-06
2022-09-26,Howl's Moving Castle,2004,https://boxd.it/3giDu9,3,,,2022-07-14
2022-09-26,Waiting...,2005,https://boxd.it/3giDIb,1,,,2022-07-19
2022-09-26,After Yang,2021,https://boxd.it/3giDWn,3.5,,,2022-07-20
2022-09-26,"Crouching Tiger, Hidden Dragon",2000,https://boxd.it/3giEmZ,3.5,,,2022-07-27
2022-09-26,Pariah,2011,https://boxd.it/3giEzp,4,,,2022-08-03
2022-09-26,American Pie,1999,https://boxd.it/3giFab,1,,,2022-08-09
2022-09-26,Blockers,2018,https://boxd.it/3giGph,3,,,2022-08-12
2022-09-26,Happy Death Day,2017,https://boxd.it/3giGxZ,3,,,2022-08-15
2022-09-26,Belladonna of Sadness,1973,https://boxd.it/3giGKT,2.5,,,2022-08-18
2022-09-26,The Thing,2011,https://boxd.it/3giGWF,2.5,,,2022-08-20
2022-09-26,Red Rocket,2021,https://boxd.it/3giHcj,4,,,2022-08-25
2022-09-26,Cube,1997,https://boxd.it/3giHwN,1.5,,,2022-08-27
2022-09-26,The Skeleton Key,2005,https://boxd.it/3giI2f,2.5,,,2022-09-04
2022-09-26,Crash,1996,https://boxd.it/3giIk9,3,,,2022-09-07
2022-09-26,The Watermelon Woman,1996,https://boxd.it/3giIsR,3,,,2022-09-14
2022-09-26,Do Revenge,2022,https://boxd.it/3giIDZ,0.5,,,2022-09-23
2022-09-26,Bodies Bodies Bodies,2022,https://boxd.it/3giIP7,4,,,2022-09-23
2022-09-26,Werewolves Within,2021,https://boxd.it/3giIXZ,3,,,2022-09-24
2022-09-28,About Elly,2009,https://boxd.it/3gGHQL,4,,,2022-09-28
2022-10-05,Bram Stoker's Dracula,1992,https://boxd.it/3ia0kB,2.5,,,2022-10-05
2022-10-19,Die Hard,1988,https://boxd.it/3kZPDJ,2,,,2022-10-17
2022-10-25,Election,1999,https://boxd.it/3mqDgB,4,,,2022-10-25
2022-10-27,Lake Mungo,2008,https://boxd.it/3mOX5V,2.5,,,2022-10-27
2022-10-29,Bullet Train,2022,https://boxd.it/3ncFUT,1.5,,,2022-10-29
2022-10-31,Fallen,2016,https://boxd.it/3nHSL3,1,,,2022-10-29
2022-10-31,An American Werewolf in London,1981,https://boxd.it/3nHTax,4,,,2022-10-31
2022-10-31,Hellraiser,1987,https://boxd.it/3nIuOp,1.5,,,2022-10-31
2022-11-01,Prey,2022,https://boxd.it/3nYprn,3.5,,,2022-11-01
2022-11-10,Guns Akimbo,2019,https://boxd.it/3pRs75,2,,,2022-11-10
2022-11-19,The Man from U.N.C.L.E.,2015,https://boxd.it/3rHF6R,2,,,2022-11-19
2022-11-27,I'm Thinking of Ending Things,2020,https://boxd.it/3ti8cZ,3,,,2022-11-27
2022-11-29,Chernobyl,2019,https://boxd.it/3tHCln,4,,,2022-11-29
2022-12-02,The Guardians of the Galaxy Holiday Special,2022,https://boxd.it/3ulDRf,1.5,,,2022-12-02
2022-12-03,The Unbearable Weight of Massive Talent,2022,https://boxd.it/3uBqpT,2.5,,,2022-12-03
2022-12-08,You Don't Mess with the Zohan,2008,https://boxd.it/3vGFuj,1.5,,,2022-12-07
2022-12-10,Smiley Face,2007,https://boxd.it/3w4q8b,4,,,2022-12-09
2022-12-10,Battle Royale,2000,https://boxd.it/3w4qgJ,3,,,2022-12-10
2022-12-12,Lara Croft: Tomb Raider,2001,https://boxd.it/3wzJJn,2,,,2022-12-12
2022-12-13,Women on the Verge of a Nervous Breakdown,1988,https://boxd.it/3wNmJn,4,,,2022-12-13
2022-12-19,Monster Hunter,2020,https://boxd.it/3ydMMj,1.5,,,2022-12-19
2022-12-26,Scary Movie 3,2003,https://boxd.it/3AcoYL,2,,,2022-12-26
