Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-01-01,fav bad films,,https://boxd.it/jVA2S,

Position,Name,Year,URL,Description
1,Catwoman,2004,https://boxd.it/2aBY,
2,Resident Evil: Afterlife,2010,https://boxd.it/1bVo,
3,Æon Flux,2005,https://boxd.it/20vc,
4,Terminator 3: Rise of the Machines,2003,https://boxd.it/2aES,
5,Movie 43,2013,https://boxd.it/37qK,
6,Scary Movie 2,2001,https://boxd.it/24Cw,
7,Swordfish,2001,https://boxd.it/1Y0m,
8,Gothika,2003,https://boxd.it/23y4,
9,Vampire Academy,2014,https://boxd.it/67qw,
10,Step Up 2: The Streets,2008,https://boxd.it/20mk,
