Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-10-06,to watch bobbles,,https://boxd.it/iA3y6,

Position,Name,Year,URL,Description
1,Final Destination,2000,https://boxd.it/1YrC,
2,Gone Girl,2014,https://boxd.it/6hQu,
3,Machete,2010,https://boxd.it/1yXW,
4,Millennium Actress,2001,https://boxd.it/1fK0,
5,Resident Evil,2002,https://boxd.it/28z2,
6,Tank Girl,1995,https://boxd.it/1Zfs,
7,We Need to Talk About Kevin,2011,https://boxd.it/2pTS,
8,White Chicks,2004,https://boxd.it/1SpK,
9,Rough Night,2017,https://boxd.it/dV0W,
10,Southland Tales,2006,https://boxd.it/23Uu,
11,Waiting...,2005,https://boxd.it/20Pw,
12,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
